koi_fwm_sdec,koi_fwm_sra,koi_teq,koi_prad
42.18064,19.4260559,1314,1.42
41.331372,19.3491617,841,1.42
43.97971,18.832822,846,1.42
45.38791,19.45866,376,1.42
45.3497,18.880865,205,1.42
43.98025,18.832817,971,1.43
46.74474,19.328057,525,1.43
48.48126,19.674595,587,1.43
44.733863,19.2389271,1186,1.43
49.25896,19.417099,1132,1.43
38.94592,19.713452,765,1.44
45.36763,19.0230759,741,1.45
47.41332,19.1108685,792,1.45
47.39835,18.771324,728,1.45
50.24204,19.045237,1968,1.45
47.63024,19.185406,1231,1.45
44.89997,19.464017,636,1.45
47.08597,18.804076,719,1.46
40.91377,19.4857431,470,1.46
48.44455,19.556774,954,1.46
45.86972,19.94246,1019,1.46
46.028184,19.012692,890,1.46
44.733761,19.2389414,964,1.46
43.832045,19.1626037,346,1.46
48.29456,19.378415,1186,1.47
41.33547,19.050068,451,1.47
40.91934,19.06664,884,1.47
41.45239,19.023304,201,1.47
48.29451,19.378433,992,1.48
49.08488,19.790159,1318,1.48
49.23197,19.41667,978,1.48
47.86413,19.464776,1514,1.48
46.27758,19.535855,1178,1.48
49.57912,19.520499,423,1.48
45.42846,19.737611,447,1.48
37.2528,19.381922,734,1.49
42.52826,19.592667,1134,1.49
46.835283,19.776989,1082,1.49
40.42145,18.881439,824,1.5
44.42256,18.813386,769,1.5
42.81135,19.053305,878,1.5
39.70632,19.027988,979,1.5
40.48007,19.396299,786,1.5
41.99046,19.425745,674,1.5
41.151187,19.2459158,1726,1.5
47.35746,19.395618,979,1.5
44.02638,19.011236,744,1.51
45.19228,19.399704,1228,1.51
49.77437,19.704746,781,1.51
49.437199,19.1026649,440,1.52
39.9491,19.4074671,670,1.52
43.293071,19.3587754,335,1.52
42.52794,19.592693,875,1.52
39.89835,18.924423,462,1.53
43.954981,19.9101928,383,1.53
45.21371,19.664901,768,1.53
42.43305,19.46404,689,1.53
40.75037,19.410587,884,1.54
40.591891,19.4862932,694,1.54
50.033487,19.206725,1198,1.54
44.208442,19.289815,1017,1.54
46.76808,19.157971,435,1.54
39.82519,19.647333,1252,1.54
46.00539,19.271817,1336,1.54
38.65784,19.488412,448,1.54
48.208665,19.8018709,1460,1.55
45.97688,19.737652,923,1.55
47.6975,19.420147,1167,1.55
41.89114,19.822211,1391,1.55
48.22481,19.752406,1360,1.56
42.66354,19.765552,674,1.56
44.208534,19.2898301,796,1.56
39.28009,19.024427,260,1.56
47.08553,18.804113,928,1.57
41.900711,19.5821806,923,1.57
41.833829,19.4423306,795,1.57
38.73575,19.694787,626,1.58
48.09807,19.241216,743,1.58
44.89968,19.463992,1049,1.58
40.67073,19.966807,508,1.58
47.76213,19.9109158,1072,1.58
47.88103,19.491743,1017,1.59
38.7131,19.157344,1785,1.59
44.295149,18.7565871,1016,1.59
43.35472,19.2246842,990,1.59
38.672353,19.4278784,1039,1.59
46.72683,19.511877,723,1.59
44.02619,19.011221,572,1.6
43.354563,19.2246778,1213,1.6
48.673485,19.1551009,1331,1.6
50.53215,19.598211,426,1.61
38.34403,19.360888,1234,1.61
38.01391,19.461771,379,1.61
38.63834,19.5869797,758,1.61
41.77542,19.347669,875,1.62
46.64011,19.135984,754,1.62
44.78139,19.085667,1296,1.62
49.59851,18.982585,1054,1.63
46.895648,19.4337435,622,1.63
49.13103,19.708462,732,1.63
44.026463,19.0112103,952,1.64
39.59447,19.26109,1068,1.64
37.68263,19.4947451,852,1.64
39.339103,19.1927759,455,1.64
49.30568,19.279965,629,1.64
43.039387,19.2428464,975,1.65
46.09713,19.505366,1008,1.65
47.69772,19.420162,835,1.65
42.42389,19.717711,1229,1.65
49.43723,19.102681,293,1.65
41.24468,19.367381,1030,1.66
41.331385,19.3491745,651,1.66
43.039221,18.8090297,756,1.66
38.38423,19.056896,429,1.66
